Ranking,Title,Type,Japanese,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members
1455,Date A Bullet: Dead or Bullet,Movie,デート・ア・バレット デッド・オア・バレット,14-Aug-20,1,24 min.,7.56,Light novel,"ActionAction,Sci-FiSci-Fi",IsekaiIsekai,add some,Nippon Columbia,PG-13 - Teens 13 or older,Finished Airing,GEEK TOYS,"87,505"
1456,Demi-chan wa Kataritai,TV,亜人ちゃんは語りたい,"Jan 8, 2017 to Mar 26, 2017",12,23 min. per ep.,7.56,Manga,"ComedyComedy,FantasyFantasy","SchoolSchool,VampireVampire",Funimation,"Aniplex,Kodansha,Kanetsu Investment,Christmas Holly",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"380,519"
1457,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Movie,ドラゴンボールZ 復活のフュージョン!!悟空とベジータ,4-Mar-95,1,55 min.,7.56,Manga,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy,Sci-FiSci-Fi",None,Funimation,Studio Take Off,PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"133,843"
1458,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,ダンジョンに出会いを求めるのは間違っているだろうか,"Apr 4, 2015 to Jun 27, 2015",13,24 min. per ep.,7.56,Light novel,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy,RomanceRomance",None,Sentai Filmworks,"Genco,Movic,Warner Bros. Japan,KlockWorx,SoftBank Creative,Showgate,MAGES.,FuRyu",PG-13 - Teens 13 or older,Finished Airing,J.C.Staff,"1,352,342"
1459,Free!: Dive to the Future - Soushun no Build-up!,Special,Free!-Dive to the Future- 早春のビルドアップ,23-Jun-18,1,23 min.,7.56,Original,ComedyComedy,SchoolSchool,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"18,894"
1460,Garo Movie: Divine Flame,Movie,劇場版 牙狼〈GARO〉‐DIVINE FLAME‐,21-May-16,1,1 hr. 18 min.,7.56,Original,"ActionAction,FantasyFantasy,SupernaturalSupernatural",MythologyMythology,Funimation,Tohokushinsha Film Corporation,R+ - Mild Nudity,Finished Airing,MAPPA,"22,850"
1461,Gensoumaden Saiyuuki,TV,幻想魔伝 最遊記,"Apr 4, 2000 to Mar 27, 2001",50,23 min. per ep.,7.56,Manga,"ActionAction,AdventureAdventure,ComedyComedy,DramaDrama,SupernaturalSupernatural",MythologyMythology,ADV Films,"TV Tokyo,Dentsu,Group TAC",R - 17+ (violence & profanity),Finished Airing,Pierrot,"51,459"
1462,Hakumei no Tsubasa,ONA,薄明の翼,"Jan 15, 2020 to Aug 6, 2020",7,6 min. per ep.,7.56,Game,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy",None,add some,"None found,add some",PG - Children,Finished Airing,Studio Colorido,"19,279"
1463,Hello! Lady Lynn,TV,ハロー! レディリン,"May 12, 1988 to Jan 26, 1989",36,24 min. per ep.,7.56,Manga,DramaDrama,None,add some,"None found,add some",G - All Ages,Finished Airing,Toei Animation,"3,756"
1464,Higashi no Eden Movie I: The King of Eden,Movie,東のエデン 劇場版I The King of Eden,28-Nov-09,1,1 hr. 22 min.,7.56,Original,"MysteryMystery,RomanceRomance,Sci-FiSci-Fi,SuspenseSuspense",None,Funimation,"Fuji TV,Asmik Ace,Sony Music Entertainment",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"160,567"
1465,Hokuto no Ken 2,TV,北斗の拳2,"Mar 12, 1987 to Feb 18, 1988",43,25 min. per ep.,7.56,Manga,"ActionAction,DramaDrama","Martial ArtsMartial Arts,Super PowerSuper Power",Discotek Media,"None found,add some",R - 17+ (violence & profanity),Finished Airing,Toei Animation,"28,060"
1466,Hokuto no Ken: Raoh Gaiden Gekitou-hen,Movie,真救世主伝説　北斗の拳　ラオウ伝　激闘の章,28-Apr-07,1,1 hr. 29 min.,7.56,Manga,"ActionAction,AdventureAdventure,RomanceRomance",Martial ArtsMartial Arts,add some,Toei Animation,R - 17+ (violence & profanity),Finished Airing,TMS Entertainment,"9,266"
1467,Hungry Heart: Wild Striker,TV,ハングリーハート Wild Striker,"Sep 11, 2002 to Sep 10, 2003",52,23 min. per ep.,7.56,Manga,"ComedyComedy,Slice of LifeSlice of Life,SportsSports",Team SportsTeam Sports,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Nippon Animation,"22,906"
1468,Initial D Battle Stage,OVA,頭文字〈イニシャル〉D BATTLE STAGE,15-May-02,1,52 min.,7.56,Manga,"ActionAction,DramaDrama",RacingRacing,add some,"OB Planning,Fuji TV",G - All Ages,Finished Airing,Pastel,"33,411"
1469,Inu x Boku SS Special,Special,妖狐×僕SS,26-Sep-12,1,24 min.,7.56,Manga,"ComedyComedy,SupernaturalSupernatural",None,Sentai Filmworks,Aniplex,PG-13 - Teens 13 or older,Finished Airing,David Production,"86,715"
1470,InuYasha Movie 1: Toki wo Koeru Omoi,Movie,犬夜叉 時代を越える想い,22-Dec-01,1,1 hr. 39 min.,7.56,Manga,"ActionAction,AdventureAdventure,ComedyComedy,DramaDrama,FantasyFantasy,RomanceRomance,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology,Time TravelTime Travel",VIZ Media,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"94,142"
1471,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,痛いのは嫌なので防御力に極振りしたいと思います。,"Jan 8, 2020 to Mar 25, 2020",12,23 min. per ep.,7.56,Light novel,"ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy,Sci-FiSci-Fi",Video GameVideo Game,Funimation,"AT-X,MAGES.,Docomo Anime Store,Sammy,ABC Animation,Kadokawa Media House,Kadokawa,D-techno",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"418,972"
1472,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,OVA,かぐや様は告らせたい ～天才たちの恋愛頭脳戦～ OVA,19-May-21,1,24 min.,7.56,Manga,"ComedyComedy,EcchiEcchi","Romantic SubtextRomantic Subtext,SchoolSchool",add some,"Aniplex,Shueisha",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"176,335"
1473,Kami no Tou,TV,神之塔 -Tower of God-,"Apr 2, 2020 to Jun 25, 2020",13,23 min. per ep.,7.56,Web manga,"ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy,MysteryMystery",None,Crunchyroll,"Sega,Rialto Entertainment,Sola Entertainment,Naver Webtoons,IRMA LA DOUCE",PG-13 - Teens 13 or older,Finished Airing,Telecom Animation Film,"773,305"
1474,Minami-ke Okaeri,TV,みなみけ おかえり,"Jan 5, 2009 to Mar 30, 2009",13,24 min. per ep.,7.56,Manga,"ComedyComedy,Slice of LifeSlice of Life","CGDCTCGDCT,SchoolSchool",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,asread.,"63,611"
1475,Mobile Fighter G Gundam,TV,機動武闘伝Gガンダム,"Apr 1, 1994 to Mar 31, 1995",49,24 min. per ep.,7.56,Original,"AdventureAdventure,ComedyComedy,DramaDrama,RomanceRomance,Sci-FiSci-Fi,SportsSports","Martial ArtsMartial Arts,MechaMecha,SpaceSpace",Bandai Entertainment,"TV Asahi,Sotsu",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"62,613"
1476,Muteki-kyuu*Believer / Mirai Harmony,Music,無敵級*ビリーバー / 未来ハーモニー,29-Jul-20,1,8 min.,7.56,Original,None,"Idols (Female)Idols (Female),MusicMusic",add some,"Magic Capsule,Kadokawa,Bandai Namco Arts",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"2,838"
1477,Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV,陸奥圓明流外伝 修羅の刻,"Apr 6, 2004 to Sep 28, 2004",26,23 min. per ep.,7.56,Manga,ActionAction,"HistoricalHistorical,Martial ArtsMartial Arts,SamuraiSamurai",Media Blasters,"TV Tokyo,Sotsu,Marvelous,Media Factory",PG-13 - Teens 13 or older,Finished Airing,Studio Comet,"22,914"
1478,Nobunaga Concerto,TV,信長協奏曲〈コンツェルト〉,"Jul 12, 2014 to Sep 20, 2014",10,22 min. per ep.,7.56,Manga,"ComedyComedy,RomanceRomance","HistoricalHistorical,Time TravelTime Travel",add some,Pony Canyon,PG-13 - Teens 13 or older,Finished Airing,Fuji TV,"54,560"
1479,Patapata Hikousen no Bouken,TV,パタパタ飛行船の冒険,"Jan 5, 2002 to Jun 29, 2002",26,24 min. per ep.,7.56,Novel,"AdventureAdventure,Sci-FiSci-Fi",None,add some,TMS Entertainment,PG-13 - Teens 13 or older,Finished Airing,Telecom Animation Film,"7,366"
1480,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,Movie,Re:ゼロから始める異世界生活 Memory Snow,6-Oct-18,1,1 hr.,7.56,Light novel,FantasyFantasy,IsekaiIsekai,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,White Fox,"257,369"
1481,Shoubushi Densetsu Tetsuya,TV,勝負師伝説哲也,"Oct 7, 2000 to Mar 24, 2001",20,23 min. per ep.,7.56,Manga,None,"HistoricalHistorical,Strategy GameStrategy Game",add some,"TV Asahi,Toei Video,Toei Advertising",R - 17+ (violence & profanity),Finished Airing,Toei Animation,"8,763"
1482,Shounen Onmyouji,TV,少年陰陽師,"Oct 4, 2006 to Mar 28, 2007",26,23 min. per ep.,7.56,Light novel,"ActionAction,FantasyFantasy,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology",Funimation,"Sotsu,Marine Entertainment",PG-13 - Teens 13 or older,Finished Airing,Studio Deen,"52,752"
1483,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,Movie,スラムダンク 湘北最大の危機！燃えろ桜木花道,4-Mar-95,1,40 min.,7.56,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"14,897"
1484,Sword Art Online: Alicization,TV,ソードアート・オンライン アリシゼーション,"Oct 7, 2018 to Mar 31, 2019",24,24 min. per ep.,7.56,Light novel,"ActionAction,AdventureAdventure,FantasyFantasy",Video GameVideo Game,Aniplex of America,"Aniplex,Genco,Bandai Namco Entertainment,Egg Firm,Straight Edge,Kadokawa",R - 17+ (violence & profanity),Finished Airing,A-1 Pictures,"899,607"
1485,Tamayura: More Aggressive,TV,たまゆら ～もあぐれっしぶ～,"Jul 3, 2013 to Sep 18, 2013",12,24 min. per ep.,7.56,Original,"ComedyComedy,DramaDrama,Slice of LifeSlice of Life","CGDCTCGDCT,IyashikeiIyashikei",add some,RAY,G - All Ages,Finished Airing,TYO Animations,"19,029"
1486,Uchiage Hanabi,Music,打上花火,9-Aug-17,1,4 min.,7.56,Other,None,MusicMusic,add some,"None found,add some",G - All Ages,Finished Airing,Shaft,"18,249"
1487,Uchuu Patrol Luluco,TV,宇宙パトロールルル子,"Apr 1, 2016 to Jun 24, 2016",13,7 min. per ep.,7.56,Original,"ActionAction,AdventureAdventure,ComedyComedy",SpaceSpace,Funimation,"Half H.P Studio,AT-X,flying DOG,Ultra Super Pictures,Good Smile Company,bilibili",PG-13 - Teens 13 or older,Finished Airing,Trigger,"140,336"
1488,Un-Go: Inga-ron,Movie,UN-GO episode:0 因果論,19-Nov-11,1,48 min.,7.56,Novel,"MysteryMystery,SupernaturalSupernatural",None,Sentai Filmworks,"None found,add some",R - 17+ (violence & profanity),Finished Airing,Bones,"35,950"
1489,Wakakusa Monogatari: Nan to Jo-sensei,TV,若草物語ナンとジョー先生,"Jan 17, 1993 to Dec 19, 1993",40,25 min. per ep.,7.56,Unknown,"DramaDrama,Slice of LifeSlice of Life","HistoricalHistorical,SchoolSchool",add some,"None found,add some",G - All Ages,Finished Airing,Nippon Animation,"5,865"
1490,Yama no Susume Second Season,TV,ヤマノススメ セカンドシーズン,"Jul 9, 2014 to Dec 24, 2014",24,13 min. per ep.,7.56,Manga,"AdventureAdventure,ComedyComedy,Slice of LifeSlice of Life","CGDCTCGDCT,IyashikeiIyashikei",add some,"Earth Star Entertainment,Tokyo MX,Good Smile Company,Yomiuri TV Enterprise,Jinnan Studio,Radio Osaka,TSUTAYA,Ashisuto",PG-13 - Teens 13 or older,Finished Airing,8bit,"29,906"
1491,Majo no Tabitabi,TV,魔女の旅々,"Oct 2, 2020 to Dec 18, 2020",12,24 min. per ep.,7.55,Light novel,"AdventureAdventure,FantasyFantasy",None,Funimation,"Lantis,Movic,AT-X,Kadokawa Media House,Kadokawa,SB Creative",PG-13 - Teens 13 or older,Finished Airing,C2C,"324,429"
1492,Mashiro no Oto,TV,ましろのおと,"Apr 3, 2021 to Jun 19, 2021",12,24 min. per ep.,7.55,Manga,"DramaDrama,Slice of LifeSlice of Life","MusicMusic,SchoolSchool",add some,DMM Music,PG-13 - Teens 13 or older,Finished Airing,Shin-Ei Animation,"129,846"
1493,Mekakucity Records,Music,メカクシティレコーズ,29-May-13,3,3 min. per ep.,7.55,Music,Sci-FiSci-Fi,"MusicMusic,PsychologicalPsychological",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,add some,"7,728"
1494,Mitsudomoe,TV,みつどもえ,"Jul 3, 2010 to Sep 26, 2010",13,24 min. per ep.,7.55,Manga,"ComedyComedy,Slice of LifeSlice of Life","Gag HumorGag Humor,SchoolSchool",add some,"Aniplex,Lantis,Cospa,Studio Mausu,Akita Shoten",PG-13 - Teens 13 or older,Finished Airing,Bridge,"99,896"
1495,Mitsudomoe: Oppai Ippai Mama Genki,Special,みつどもえ OPPAI IPPAI ママ元気,23-Feb-11,1,23 min.,7.55,Unknown,"ComedyComedy,Slice of LifeSlice of Life","Gag HumorGag Humor,SchoolSchool",add some,Lantis,PG-13 - Teens 13 or older,Finished Airing,Bridge,"17,572"
1496,One Piece Movie 04: Dead End no Bouken,Movie,ワンピース デッドエンドの冒険,1-Mar-03,1,1 hr. 35 min.,7.55,Manga,"ActionAction,AdventureAdventure,FantasyFantasy",None,add some,Fujipacific Music,PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"88,187"
1497,Over Drive,TV,オーバードライヴ,"Apr 4, 2007 to Sep 26, 2007",26,24 min. per ep.,7.55,Manga,SportsSports,None,add some,"Sotsu,Pony Canyon",PG-13 - Teens 13 or older,Finished Airing,Xebec,"42,358"
1498,Perrine Monogatari,TV,ペリーヌ物語,"Jan 1, 1978 to Dec 31, 1978",53,25 min. per ep.,7.55,Novel,"DramaDrama,Slice of LifeSlice of Life",HistoricalHistorical,add some,Bandai Visual,G - All Ages,Finished Airing,Nippon Animation,"5,214"
1499,Persona 3 the Movie 1: Spring of Birth,Movie,PERSONA3 THE MOVIE —#1 Spring of Birth—,23-Nov-13,1,1 hr. 38 min.,7.55,Game,"ActionAction,FantasyFantasy,SupernaturalSupernatural",None,Aniplex of America,"Aniplex,Yomiko Advertising,Atlus,Index",R - 17+ (violence & profanity),Finished Airing,AIC ASTA,"106,765"
1500,Planetarian: Chiisana Hoshi no Yume,ONA,planetarian～ちいさなほしのゆめ～,"Jul 7, 2016 to Aug 4, 2016",5,18 min. per ep.,7.55,Visual novel,"DramaDrama,Sci-FiSci-Fi",None,Funimation,Visual Arts,PG-13 - Teens 13 or older,Finished Airing,David Production,"87,594"
1501,Pretty Rhythm: Rainbow Live,TV,プリティーリズム・レインボーライブ,"Apr 6, 2013 to Mar 29, 2014",51,21 min. per ep.,7.55,Game,"Slice of LifeSlice of Life,SportsSports","Idols (Female)Idols (Female),MusicMusic",add some,TV Tokyo,PG - Children,Finished Airing,Tatsunoko Production,"11,895"
1502,Re:Creators,TV,Re:CREATORS 〈レクリエイターズ〉,"Apr 8, 2017 to Sep 16, 2017",22,24 min. per ep.,7.55,Original,"ActionAction,FantasyFantasy,Sci-FiSci-Fi",MechaMecha,add some,"Aniplex,Magic Capsule,Shogakukan,ABC Animation",R - 17+ (violence & profanity),Finished Airing,TROYCA,"435,991"
1503,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,20-Dec-97,1,1 hr. 31 min.,7.55,Manga,DramaDrama,"HistoricalHistorical,SamuraiSamurai",ADV Films,"Fuji TV,Sony Music Entertainment",R - 17+ (violence & profanity),Finished Airing,Gallop,"48,487"
1504,Shin Tennis no Ouji-sama,TV,新テニスの王子様,"Jan 5, 2012 to Mar 29, 2012",13,23 min. per ep.,7.55,Manga,SportsSports,SchoolSchool,add some,"TV Tokyo,Bandai Visual,Nihon Ad Systems,TV Tokyo Music,Marvelous AQL,Shueisha",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"57,104"
1505,Shoukoku no Altair,TV,将国のアルタイル,"Jul 8, 2017 to Dec 23, 2017",24,24 min. per ep.,7.55,Manga,"AdventureAdventure,DramaDrama,FantasyFantasy","HistoricalHistorical,MilitaryMilitary",add some,"Aniplex,Mainichi Broadcasting System,Kodansha,Lucent Pictures Entertainment,Hakuhodo DY Music & Pictures,Lawson,GYAO!,Kanetsu Investment,Christmas Holly",PG-13 - Teens 13 or older,Finished Airing,MAPPA,"68,988"
1506,To LOVE-Ru Darkness OVA,OVA,To LOVEる -とらぶる- ダークネス,"Aug 17, 2012 to Apr 3, 2015",6,25 min. per ep.,7.55,Manga,"ComedyComedy,RomanceRomance,Sci-FiSci-Fi,EcchiEcchi","HaremHarem,SchoolSchool",add some,"None found,add some",R+ - Mild Nudity,Finished Airing,Xebec,"122,563"
1507,Toaru Majutsu no Index II,TV,とある魔術の禁書目録Ⅱ,"Oct 8, 2010 to Apr 1, 2011",24,23 min. per ep.,7.55,Light novel,"ActionAction,Sci-FiSci-Fi",Super PowerSuper Power,Funimation,"Geneon Universal Entertainment,Square Enix,AT-X,ASCII Media Works,Delfi Sound",R - 17+ (violence & profanity),Finished Airing,J.C.Staff,"424,927"
1508,Tonari no Seki-kun,TV,となりの関くん,"Jan 6, 2014 to May 26, 2014",21,7 min. per ep.,7.55,Manga,ComedyComedy,SchoolSchool,Sentai Filmworks,"Starchild Records,Media Factory",G - All Ages,Finished Airing,Shin-Ei Animation,"208,054"
1509,Xingchen Bian,ONA,星辰变,"Oct 5, 2018 to Dec 14, 2018",12,24 min. per ep.,7.55,Novel,"ActionAction,AdventureAdventure,FantasyFantasy,RomanceRomance","HistoricalHistorical,Martial ArtsMartial Arts",add some,"Tencent Penguin Pictures,China Literature Limited",PG-13 - Teens 13 or older,Finished Airing,Shanghai Foch Film and TV Culture Investment,"5,974"
1510,"Yondemasu yo, Azazel-san. Z",TV,よんでますよ、アザゼルさん。Z,"Apr 7, 2013 to Jun 30, 2013",13,12 min. per ep.,7.55,Manga,"ComedyComedy,SupernaturalSupernatural","Gag HumorGag Humor,MythologyMythology",Nozomi Entertainment,"None found,add some",R - 17+ (violence & profanity),Finished Airing,Production I.G,"35,120"
1511,Yuru Camp△ Specials,Special,ゆるキャン△,"Mar 28, 2018 to Jul 25, 2018",3,8 min. per ep.,7.55,Manga,Slice of LifeSlice of Life,"CGDCTCGDCT,IyashikeiIyashikei",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,C-Station,"47,729"
1512,Aa! Megami-sama! Movie,Movie,劇場版　ああっ女神さまっ,21-Oct-00,1,1 hr. 46 min.,7.55,Original,"ComedyComedy,RomanceRomance,SupernaturalSupernatural",None,Geneon Entertainment USA,"Bandai Visual,Pony Canyon,Kodansha,Movic,Sega,Imagine",PG-13 - Teens 13 or older,Finished Airing,AIC,"40,592"
1513,Aikatsu Stars!,TV,アイカツスターズ！,"Apr 7, 2016 to Mar 29, 2018",100,24 min. per ep.,7.55,Original,Slice of LifeSlice of Life,"Idols (Female)Idols (Female),MusicMusic,SchoolSchool",add some,"TV Tokyo,Echoes",PG - Children,Finished Airing,Bandai Namco Pictures,"17,496"
1514,Basilisk: Kouga Ninpou Chou,TV,バジリスク 甲賀忍法帖,"Apr 13, 2005 to Sep 21, 2005",24,24 min. per ep.,7.55,Manga,"ActionAction,AdventureAdventure,FantasyFantasy,RomanceRomance,SupernaturalSupernatural","HistoricalHistorical,SamuraiSamurai",Funimation,"GDH,Kodansha,Sotsu Music Publishing",R - 17+ (violence & profanity),Finished Airing,Gonzo,"173,255"
1515,Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,Movie,美少女戦士 セーラームーン SuperS セーラー9戦士集結! ブラック・ドリーム・ホールの奇跡,23-Dec-95,1,1 hr.,7.55,Manga,DramaDrama,Mahou ShoujoMahou Shoujo,VIZ Media,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"37,995"
1516,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,Special,DARKER THAN BLACK -黒の契約者- 桜の花の満開の下,26-Mar-08,1,23 min.,7.55,Original,"ComedyComedy,Sci-FiSci-Fi",ParodyParody,Funimation,"Aniplex,Square Enix",R - 17+ (violence & profanity),Finished Airing,Bones,"132,353"
1517,Doraemon Movie 07: Nobita to Tetsujin Heidan,Movie,映画 ドラえもん のび太と鉄人兵団,15-Mar-86,1,1 hr. 40 min.,7.55,Manga,"AdventureAdventure,ComedyComedy,FantasyFantasy",MechaMecha,add some,"None found,add some",PG - Children,Finished Airing,add some,"6,876"
1518,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,Special,DRAGON BALL Z スペシャル たったひとりの最終決戦~フリーザに挑んだZ戦士孫悟空の父~,17-Oct-90,1,47 min.,7.55,Manga,"AdventureAdventure,ComedyComedy,FantasyFantasy,Sci-FiSci-Fi",None,Funimation,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"92,974"
1519,Fairy Tail: Final Series,TV,FAIRY TAIL ファイナルシリーズ,"Oct 7, 2018 to Sep 29, 2019",51,23 min. per ep.,7.55,Manga,"ActionAction,AdventureAdventure,FantasyFantasy",None,Funimation,"TV Tokyo,Dentsu,Kodansha,Avex Pictures",PG-13 - Teens 13 or older,Finished Airing,A-1 Pictures,"436,673"
1520,Giant Killing,TV,ジャイアントキリング,"Apr 4, 2010 to Sep 26, 2010",26,24 min. per ep.,7.55,Manga,"DramaDrama,SportsSports",Team SportsTeam Sports,add some,NHK,PG-13 - Teens 13 or older,Finished Airing,Studio Deen,"65,011"
1521,Ginga Tetsudou 999 (Movie),Movie,銀河鉄道９９９,4-Aug-79,1,2 hr. 8 min.,7.55,Manga,"AdventureAdventure,DramaDrama,FantasyFantasy,Sci-FiSci-Fi",SpaceSpace,Discotek Media,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"17,755"
1522,Heya Camp△: Sauna to Gohan to Sanrin Bike,Special,へやキャン△「サウナとごはんと三輪バイク」,27-May-20,1,11 min.,7.55,Manga,Slice of LifeSlice of Life,"CGDCTCGDCT,IyashikeiIyashikei",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,C-Station,"15,276"
1523,Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,Movie,劇場版 響け！ユーフォニアム～北宇治高校吹奏楽部へようこそ～,23-Apr-16,1,1 hr. 43 min.,7.55,Novel,None,"MusicMusic,Performing ArtsPerforming Arts,SchoolSchool",Eleven Arts,"Lantis,Shochiku",PG-13 - Teens 13 or older,Finished Airing,Kyoto Animation,"26,035"
1524,InuYasha Movie 4: Guren no Houraijima,Movie,犬夜叉 紅蓮の蓬莱島,23-Dec-04,1,1 hr. 27 min.,7.55,Manga,"ActionAction,AdventureAdventure,ComedyComedy,DramaDrama,FantasyFantasy,RomanceRomance,SupernaturalSupernatural","HistoricalHistorical,MythologyMythology,Time TravelTime Travel",VIZ Media,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Sunrise,"86,284"
1525,Jigoku Sensei Nube,TV,地獄先生ぬ～べ～,"Apr 13, 1996 to Jun 21, 1997",49,24 min. per ep.,7.55,Manga,"AdventureAdventure,ComedyComedy,HorrorHorror,RomanceRomance,SupernaturalSupernatural",SchoolSchool,add some,TV Asahi,PG-13 - Teens 13 or older,Finished Airing,Toei Animation,"18,121"
1526,Kaitou Saint Tail,TV,怪盗セイント・テール,"Oct 12, 1995 to Sep 12, 1996",43,22 min. per ep.,7.55,Manga,"AdventureAdventure,RomanceRomance",None,Tokyopop,"Dentsu,Tokyo Movie Shinsha,Asahi Broadcasting",G - All Ages,Finished Airing,TMS Entertainment,"18,188"
1527,"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",ONA,家庭教師ヒットマンREBORN! ボンゴレファミリー総登場! ボンゴレ式修学旅行、来る!!,Mar-10,1,26 min.,7.55,Manga,ComedyComedy,None,add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Artland,"27,681"
1528,Kidou Keisatsu Patlabor the Movie,Movie,機動警察パトレイバー the Movie,15-Jul-89,1,1 hr. 39 min.,7.55,Original,DramaDrama,"DetectiveDetective,MechaMecha,MilitaryMilitary",Maiden Japan,"Bandai Visual,Shochiku,Bandai,Tohokushinsha Film Corporation",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"39,781"
1529,Kidou Keisatsu Patlabor: New OVA,OVA,機動警察パトレイバー　NEW OVA,"Nov 22, 1990 to Apr 23, 1992",16,25 min. per ep.,7.55,Original,"ComedyComedy,Sci-FiSci-Fi","DetectiveDetective,MechaMecha",Central Park Media,Tohokushinsha Film Corporation,PG-13 - Teens 13 or older,Finished Airing,Sunrise,"9,046"
1530,Kuroko no Basket: Baka ja Katenai no yo!,OVA,黒子のバスケ バカじゃ勝てないのよ!,4-Dec-13,1,23 min.,7.55,Manga,SportsSports,"SchoolSchool,Team SportsTeam Sports",add some,"None found,add some",PG-13 - Teens 13 or older,Finished Airing,Production I.G,"48,730"
1531,Liang Bu Yi,ONA,两不疑,"Apr 30, 2021 to Nov 10, 2021",24,14 min. per ep.,7.55,Manga,"ComedyComedy,RomanceRomance",HistoricalHistorical,add some,bilibili,PG-13 - Teens 13 or older,Finished Airing,Paper Plane Animation Studio,"4,390"
1532,Afro Samurai Movie,Movie,AFRO SAMURAI　劇場版,27-Oct-07,1,1 hr. 56 min.,7.54,Original,"ActionAction,AdventureAdventure","GoreGore,SamuraiSamurai",Funimation,"None found,add some",R+ - Mild Nudity,Finished Airing,Gonzo,"60,125"
1533,Baka to Test to Shoukanjuu,TV,バカとテストと召喚獣,"Jan 7, 2010 to Apr 1, 2010",13,24 min. per ep.,7.54,Light novel,"ComedyComedy,RomanceRomance","Love PolygonLove Polygon,SchoolSchool",Funimation,"Lantis,Media Factory,Cospa,T.O Entertainment",PG-13 - Teens 13 or older,Finished Airing,SILVER LINK.,"593,915"
1534,Candy Candy,TV,キャンディ・キャンディ,"Oct 1, 1976 to Feb 2, 1979",115,25 min. per ep.,7.54,Manga,"DramaDrama,Slice of LifeSlice of Life",None,add some,"None found,add some",G - All Ages,Finished Airing,Toei Animation,"27,238"
1535,Densetsu no Yuusha no Densetsu,TV,伝説の勇者の伝説,"Jul 2, 2010 to Dec 17, 2010",24,24 min. per ep.,7.54,Light novel,"ActionAction,AdventureAdventure,FantasyFantasy",None,Funimation,"Lantis,Media Factory,Kadokawa Contents Gate,Fujimi Shobo",R - 17+ (violence & profanity),Finished Airing,Zexcs,"276,701"
